market,calendar_date,session_state,reconstruction_state,price_rows,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-01-30,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-30,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-31,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-31,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-02-01,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-02-01,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-02-02,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-02-02,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-02-03,official-open,partial,1279,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-03,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-04,official-open,partial,1279,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-04,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-05,official-open,partial,1278,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-05,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-06,official-open,partial,1278,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-06,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-07,official-open,partial,1278,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-07,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-08,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-02-08,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-02-09,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-02-09,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-02-10,official-open,partial,1278,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-10,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-11,official-open,partial,1280,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-11,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-12,official-open,partial,1280,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-02-12,official-open,partial,949,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-02-13,official-open,partial,1280,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
