market,calendar_date,session_state,reconstruction_state,reconstruction_state_if_vendor_accepted,price_rows,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-02-17,official-open,partial,supported,1280,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-02-17,official-open,partial,partial,949,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-02-18,official-open,partial,supported,1280,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-02-18,official-open,partial,partial,949,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-02-19,official-open,partial,supported,1281,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-02-19,official-open,partial,partial,949,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-02-20,official-open,partial,supported,1281,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-02-20,official-open,partial,partial,950,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-02-21,official-open,partial,supported,1281,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-02-21,official-open,partial,partial,950,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
